Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
"Комплект Ballu Machine BLCI_CF-48HN8/EU_23Y инверторной сплит-системы, напольно-потолочного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480663,BLCI_CF-48HN8/EU_23Y,260200.0,260200.0,156120.0,14,"{'ррц Петушки (Владимирская обл.)': '1', 'фрц Киржач': '13'}"
"Комплект Ballu Machine BLCI_C-18HN8/EU_23Y (compact) инверторной сплит-системы, кассетного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480620,BLCI_C-18HN8/EU_23Y,119300.0,119300.0,71580.0,35,"{'ррц Орехово-Зуево (Московская обл.)': '5', 'фрц Киржач': '30'}"
Воздуховод Ballu MACHINE неизолир. BFA 315ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036303,BFA 315ммх10м,2120.0,2120.0,1102.4,66,"{'екатеринбург склад': '3', 'ррц Екатеринбург LV NEW': '10', 'фрц Киржач': '53'}"
"Комплект Ballu Machine BLCI_C-48HN8/EU_23Y инверторной сплит-системы, кассетного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480637,BLCI_C-48HN8/EU_23Y,253000.0,253000.0,151800.0,16,"{'ррц Петушки (Владимирская обл.)': '1', 'фрц Киржач': '15'}"
"Комплект Ballu Machine BLC_D-48HN1_21Y полупромышленной сплит-системы, канального типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1407537,BLC_D-48HN1_21Y,171500.0,171500.0,102900.0,62,"{'ррц Костерево (Владимирская обл.)': '3', 'ррц Орехово-Зуево (Московская обл.)': '31', 'фрц Киржач': '28'}"
Пульт управления групповой проводной Ballu MACHINE BLC_WGC (1х64),BALLU MACHINE,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Пульты управления",НС-1186967,BLC_WGC (1х64),76400.0,76400.0,45840.0,ожидается поставка,{}
"Комплект Ballu Machine BLC_C-36HN1_21Y полупромышленной сплит-системы, кассетного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1407542,BLC_C-36HN1_21Y,139100.0,139100.0,83460.0,более 500,"{'ррц Лакинск': '173', 'ррц Костерево (Владимирская обл.)': '60', 'ррц Орехово-Зуево (Московская обл.)': '149', 'ррц Петушки (Владимирская обл.)': '68', 'ррц Екатеринбург LV NEW': '3', 'фрц Киржач': '324'}"
"Комплект Ballu Machine BLCI_D-60HN8/EU_23Y инверторной сплит-системы, канального типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480596,BLCI_D-60HN8/EU_23Y,278900.0,278900.0,167340.0,19,{'фрц Киржач': '19'}
Воздуховод Ballu MACHINE звукоизолированный SONOBFA-H 102ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036327,SONOBFA-H 102ммх10м,3420.0,3420.0,1778.4,101,"{'ррц Екатеринбург LV NEW': '13', 'фрц Киржач': '88'}"
Воздуховод Ballu MACHINE теплоизолир. ISOBFA 315ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036322,ISOBFA 315ммх10м,6910.0,6910.0,3593.2,39,"{'ррц Екатеринбург LV NEW': '18', 'фрц Киржач': '21'}"
