Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Вентилятор IEF 225D,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1248630,IEF 225D,158564.98,155030.0,82453.79,6,{'фрц Киржач': '6'}
"Преобразователь частоты SKI780-2D2-4 2,2 кВт, 380В",SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Частотные преобразователи,НС-1442805,"SKI780-2D2-4 2,2 кВт, 380В",17380.19,,10428.12,более 500,"{'ррц Екатеринбург LV NEW': '16', 'фрц Киржач': 'более 500'}"
FRKr (G3) 1000x500/100 Фильтр кассетный,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Фильтры,НС-1033173,FRKr (G3) 1000x500/100,9320.0,9320.0,4846.4,под заказ,{}
Вентилятор EF 280E (на дверце),SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1248610,EF 280E,207430.91,202800.0,107864.07,21,{'фрц Киржач': '21'}
Хомут для воздуховода SHUFT без резинового профиля 450mm (шпилька) (упак_10),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425467,РС4501SH,95.0,95.0,87.4,74,"{'ррц Екатеринбург LV NEW': '11', 'фрц Киржач': '63'}"
"Крепление V-образное для профнастила SHUFT M10 с гайкой, упак_100",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425426,FDMV10P1SH,1750.0,1750.0,1610.0,33,"{'ррц Екатеринбург LV NEW': '4', 'фрц Киржач': '29'}"
Установка приточно-вытяжная SHUFT UniMAX-P 1000 VEL-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1061961,UniMAX-P 1000 VEL-A,544640.0,544640.0,364908.8,2,{'фрц Киржач': '2'}
Термоманометр в сборе TM 25/MST,SHUFT,Автоматизация и диспетчеризация зданий/Смесительные узлы и насосные станции/Смесительные узлы,НС-1036944,TM 25-MST,8125.0,10080.0,4265.63,14,"{'екатеринбург склад': '8', 'ррц Екатеринбург LV NEW': '6'}"
Шайба плоская SHUFT оцинкованная DIN125 М10 (упак_1кг/340шт),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425490,WSL10SH,165.0,165.0,151.8,более 500,"{'ррц Екатеринбург LV NEW': '93', 'фрц Киржач': 'более 500'}"
Установка приточно-вытяжная Shuft Star PVS-1300,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1521732,PVS-1300,274830.0,211700.0,192381.0,ожидается поставка,{}
PG 250 Решетка,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0081390,PG 250,1440.0,1440.0,748.8,116,"{'ррц Екатеринбург LV NEW': '8', 'фрц Киржач': '108'}"
Сплит-система SHUFT Soturai SFTH-12HN8 комплект,SHUFT,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1597569,SFTH-12HN8,33190.0,33190.0,24560.6,131,"{'екатеринбург склад': '4', 'ррц Екатеринбург LV NEW': '85', 'фрц Киржач': '42'}"
JETA 125 Декоративный струйно-сопловый диффузор,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-1030691,JETA 125,3120.96,,2184.67,52,{'фрц Киржач': '52'}
"Установка приточная компактная моноблочная CAU 4000/1-30,0/3 VIM",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1066115,"CAU 4000/1-30,0/3 VIM",166246.0,166250.0,111384.82,ожидается поставка,{}
CFs 200 S Канальный центробежный вентилятор,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-0079320,CFs 200 S,21480.0,21480.0,11169.6,167,"{'ррц Екатеринбург LV NEW': '17', 'фрц Киржач': '150'}"
Вентилятор прямоугольный канальный SHUFT RFD-B 600х350-4 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1060608,RFD-B 600х350-4 VIM,90390.0,90390.0,47002.8,10,{'фрц Киржач': '10'}
Вентилятор IEF 280E,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1248633,IEF 280E,179507.52,175500.0,93343.91,ожидается поставка,{}
Обратный клапан BDD 220 для вентиляторов RMV,SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Аксессуары для вентиляторов",НС-1295197,BDD 220,3000.0,,1560.0,35,{'фрц Киржач': '35'}
"Хомут спринклерный без гайки SHUFT 1 1/2"" (d=52мм) (упак.60шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425479,PCK0481SH,700.0,700.0,665.0,8,{'фрц Киржач': '8'}
Теплоизоляция рулонная SHUFT VENTOFLEX 020/06000-5 (3м2),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Теплоизоляция",НС-1618025,RSHVT02006005,6022.22,6022.22,4817.78,ожидается поставка,{}
CFs 125 S Канальный центробежный вентилятор,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-0079315,CFs 125 S,16160.0,16160.0,8403.2,204,"{'ррц Екатеринбург LV NEW': '4', 'фрц Киржач': '200'}"
RRS 450-500 Крышный короб с шумоглушением для вентилятора RMV,SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Аксессуары для вентиляторов",НС-0006704,RRS 450-500,54420.0,,28298.4,3,{'фрц Киржач': '3'}
Сплит-система SHUFT Berg SFTO-36HN1_24Y комплект,SHUFT,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1598408,SFTO-36HN1_24Y,74890.0,74890.0,56916.4,6,"{'ррц Лакинск': '1', 'ррц Екатеринбург LV NEW': '5'}"
FRKr (G3) 600x350/50 Фильтр кассетный,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Фильтры,НС-1033160,FRKr (G3) 600x350/50,2600.0,2600.0,1352.0,264,"{'ррц Екатеринбург LV NEW': '12', 'фрц Киржач': '252'}"
Хомут для воздуховода SHUFT без резинового профиля 315 мм (гайка) (упак_10),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425464,РС3151SH,70.0,70.0,64.4,325,"{'ррц Екатеринбург LV NEW': '9', 'фрц Киржач': '316'}"
CMFE 250 Вентилятор диагональный канальный энергосберегающий,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-0076035,CMFE 250,54849.52,53620.0,28521.75,44,{'фрц Киржач': '44'}
Фанкойл настенный Shuft SFH-800 V2 (без клапана),SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517682,SFH-800 V2 (без клапана),91759.95,,34134.33,ожидается поставка,{}
Установка приточно-вытяжная SHUFT UniMAX-P 2200 CW EC,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1068833,UniMAX-P 2200CW EC,836320.0,836320.0,560334.4,под заказ,{'фрц Киржач': 'под заказ'}
Хомут для воздуховода SHUFT без резинового профиля 200 мм (гайка) (упак_80),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425462,РС2001SH,41.0,41.0,37.72,более 500,"{'ррц Екатеринбург LV NEW': '18', 'фрц Киржач': 'более 500'}"
Установка приточно-вытяжная SHUFT UniMAX-P 2000 VEL-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1061974,UniMAX-P 2000 VEL-A,700917.0,522180.0,469614.39,под заказ,{}
Хомут для воздуховода SHUFT без резинового профиля 355мм (гайка),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425465,РС3551SH,65.0,65.0,59.8,119,"{'ррц Екатеринбург LV NEW': '12', 'фрц Киржач': '107'}"
Установка приточно-вытяжная SHUFT UniMAX-P 2000 VWR-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1061977,UniMAX-P 2000 VWR-A,422570.0,566950.0,283121.9,под заказ,{}
Установка приточно-вытяжная SHUFT UniMAX-P 450 VER-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1061994,UniMAX-P 450 VER-A,327076.0,327070.0,219140.92,под заказ,{'фрц Киржач': 'под заказ'}
"Преобразователь частоты SKI600-0D4-4 0,37 кВт, 380В",SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Частотные преобразователи,НС-1442810,"SKI600-0D4-4 0,37 кВт, 380В",20650.66,,12390.4,ожидается поставка,{}
Фанкойл кассетный двухтрубный Shuft SFR-1200R V2,SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517684,SFR-1200R V2,120913.82,,44980.13,14,{'ррц Лакинск': '14'}
PGC 315 Наружная решетка,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0081385,PGC 315,5040.0,5040.0,2620.8,334,"{'екатеринбург склад': '5', 'ррц Екатеринбург LV NEW': '4', 'фрц Киржач': '325'}"
Установка приточная компактная моноблочная CAU 3000/3-W VIM,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1066110,3000/3-W VIM,156360.0,156360.0,104761.2,19,{'фрц Киржач': '19'}
Вентилятор EF 400D (на дверце),SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1248622,EF 400D,239343.36,234000.0,124458.55,3,{'фрц Киржач': '3'}
Фанкойл канальный Shuft SFF-300G50 4T,SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517762,SFF-300G50 4T,56345.47,,20960.89,под заказ,{}
Установка приточно-вытяжная SHUFT UniMAX-P 450 CE-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1058571,GAGRIS1853_0099A,302974.0,302970.0,202992.58,7,{'фрц Киржач': '7'}
Вентилятор прямоугольный канальный SHUFT IRFE 600х300-4 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1057830,IRFE 600х300-4 VIM,91280.0,91280.0,47465.6,3,{'фрц Киржач': '3'}
Вентилятор прямоугольный канальный SHUFT IRFD 1000х500-4M VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1057810,IRFD 1000х500-4M VIM,204560.0,204560.0,106371.2,ожидается поставка,{}
Осушитель канальный Shuft SHA-D60,SHUFT,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Полупромышленные осушители воздуха",НС-1442254,SHA-D60,613632.96,574610.0,306816.48,13,{'фрц Киржач': '13'}
Вентилятор прямоугольный канальный SHUFT RFD-B 600х300-4 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1060607,RFD-B 600х300-4 VIM,94900.0,94900.0,49348.0,16,{'фрц Киржач': '16'}
Вентилятор EF 250D (на дверце),SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1248609,EF 250D,204439.12,199880.0,106308.34,7,{'фрц Киржач': '7'}
Осушитель канальный Shuft SHA-D480,SHUFT,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Полупромышленные осушители воздуха",НС-1442263,SHA-D480,1324538.93,1240310.0,662269.47,4,{'фрц Киржач': '4'}
