Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Фильтр для очистки воды Electrolux RevOs OsmoProf500,Electrolux,Отопление и водоснабжение/Водоочистка/Фильтры под мойку,НС-1279467,RevOs OsmoProf500,12390.0,12390.0,9664.0,13,"{'екатеринбург склад': '3', 'ррц Екатеринбург LV NEW': '10'}"
Комплект Electrolux Rapid Transformer с блоком управления и шасси ECH/R-1500 T-TUI4 (инверторный),Electrolux,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1584143,ECH/R-1500 T-TUI4-EFT/RR,12370.0,12370.0,9524.9,более 500,"{'екатеринбург склад': '2', 'фрц Киржач': 'более 500'}"
Водонагреватель проточный Electrolux NP 4 AQUATRONIC 2.0,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные электрические,НС-1146490,NP 4 AQUATRONIC 2.0,7490.0,7490.0,6217.0,ожидается поставка,{}
Очиститель воздуха Electrolux EAP-1055D Yin&Yang,Electrolux,"Увлажнение, осушение и очистка воздуха/Очистители воздуха/Бытовые очистители воздуха",НС-1236341,EAP-1055D Yin&Yang,16990.0,16990.0,13932.0,ожидается поставка,{}
Вентилятор вытяжной серии Basic EAFB-120TH с таймером и гигростатом,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1126787,EAFB-120TH,5590.0,5590.0,3913.0,21,{'фрц Киржач': '21'}
Вентилятор напольный Electrolux EFF-1003D,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы бытовые,НС-1187092,EFF-1003D,4990.0,4990.0,3992.0,17,"{'ррц Екатеринбург LV NEW': '16', 'фрц Киржач': '1'}"
Фильтр Electrolux FAP-2075 ANTI VIRUS HEPA,Electrolux,"Увлажнение, осушение и очистка воздуха/Аксессуары и фильтры для увлажнителей и очистителей/Аксессуары и фильтры для увлажнителей и очистителей",НС-1476978,FAP-2075 ANTI VIRUS HEPA,3290.0,3290.0,2632.0,3,{'фрц Киржач': '3'}
Картридж Electrolux AM Mechanical 10-5,Electrolux,Отопление и водоснабжение/Водоочистка/Картриджи для фильтров,НС-1300149,Cartridge AM Mechanical 10-5,360.0,360.0,281.0,28,"{'екатеринбург склад': '1', 'ррц Екатеринбург LV NEW': '19', 'фрц Киржач': '8'}"
Вентилятор вытяжной серии Basic EAFB-120,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1126785,EAFB-120,2890.0,2890.0,2023.0,394,"{'ррц Екатеринбург LV NEW': '10', 'фрц Киржач': '384'}"
Водонагреватель Electrolux EWH 30 Centurio IQ 3.0,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1449117,EWH 30 Centurio IQ 3.0,20390.0,20390.0,16312.0,6,{'ррц Екатеринбург LV NEW': '6'}
