Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Водонагреватель Ballu BWH/S 30 Orfeus DH,BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1588107,BWH/S 30 Orfeus DH,9290.0,9290.0,7339.0,66,"{'ррц Костерево (Владимирская обл.)': '49', 'ррц Екатеринбург LV NEW': '9', 'фрц Киржач': '8'}"
"Комплект Ballu BLC_M_C-36HN1_22Y полупромышленной сплит-системы, кассетного типа",BALLU,Кондиционирование/Полупромышленные сплит-системы,НС-1411201,BLC_M_C-36HN1_22Y,134000.0,134000.0,46977.0,ожидается поставка,{}
Вентилятор промышленный Ballu BIF-8BB,BALLU,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Промышленные вентиляторы,НС-1601100,BIF-8BB,6590.0,6590.0,5469.7,ожидается поставка,{}
Тепловая пушка газовая Ballu BHG-10L,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Газовые тепловые пушки,НС-1275312,BHG-10L,6990.0,6590.0,5801.7,41,{'фрц Киржач': '41'}
Тепловентилятор Ballu BHP-MW-9,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Электрические тепловые пушки,НС-1135822,BHP-MW-9,23990.0,23990.0,19192.0,83,"{'ррц Екатеринбург LV NEW': '12', 'фрц Киржач': '71'}"
Конвектор электрический Ballu Enzo BEC/EZMR-1500 (Боковое управление),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1580395,BEC/EZMR-1500 (SC),4590.0,4590.0,3901.5,336,"{'екатеринбург склад': '1', 'ррц Екатеринбург LV NEW': '13', 'фрц Киржач': '322'}"
Завеса тепловая Ballu BHC-CE-3T,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Компактные,НС-1109499,BHC-CE-3T,9990.0,9990.0,8491.5,239,"{'ррц Костерево (Владимирская обл.)': '1', 'ррц Екатеринбург LV NEW': '69', 'фрц Киржач': '169'}"
Комплект фильтров FPСH-120 (Pre-carbon + HEPA13) для очистителя воздуха Ballu AP-120,BALLU,"Увлажнение, осушение и очистка воздуха/Аксессуары и фильтры для увлажнителей и очистителей/Аксессуары и фильтры для увлажнителей и очистителей",НС-1290200,FPCH-120,3190.0,3190.0,2552.0,ожидается поставка,{}
Термостат цифровой Ballu BDT-1,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Аксессуары для инфракрасных обогревателей,НС-1165324,BDT-1,2590.0,2390.0,2072.0,ожидается поставка,{}
Пушка тепловая газовая Ballu BHG-15LS,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Газовые тепловые пушки,НС-1422422,BHG-15LS,7990.0,7590.0,6631.7,206,"{'ррц Орехово-Зуево (Московская обл.)': '17', 'ррц Екатеринбург LV NEW': '30', 'фрц Киржач': '159'}"
Пушка дизельная прямого нагрева Ballu Siber Heat BHDP-20 SH,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Дизельные тепловые пушки,НС-1170304,BHDP-20 SH,26990.0,26990.0,21592.0,17,{'ррц Лакинск': '17'}
"Водонагреватель проточный Ballu 3-Logic TS (5,5 kW) - кран+душ",BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели проточные электрические,НС-1588893,"3-Logic TS (5,5 kW)",2890.0,2890.0,2399.0,более 500,{'фрц Киржач': 'более 500'}
Обогреватель инфракрасный Ballu BIH-AP4-1.0,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические полупромышленные инфракрасные обогреватели,НС-1117329,BIH-AP4-1.0,5590.0,5490.0,4639.7,2,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '1'}"
Увлажнитель воздуха Ballu UHB-1500,BALLU,"Увлажнение, осушение и очистка воздуха/Увлажнители воздуха/Бытовые увлажнители воздуха",НС-1172321,UHB-1500,8790.0,8790.0,7208.0,3,{'фрц Киржач': '3'}
Кондиционер промышленный мобильный Ballu BGK25,BALLU,Кондиционирование/Бытовые кондиционеры/Мобильные кондиционеры,НС-1303264,BGK25,985590.0,985590.0,788472.0,ожидается поставка,{}
"Бактерицидный рециркулятор Ballu RDU-100D WiFi ANTICOVIDgenerator, white",BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Рециркуляторы",НС-1432635,"RDU-100D WiFi, white",16990.0,16990.0,13252.0,1,{'ррц Екатеринбург LV NEW': '1'}
Блок внутренний Ballu BSUI-FM/in-07HN8/EU инверторной мульти сплит-системы,BALLU,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1247856,BSUI-FM/in-07HN8/EU,16700.0,16700.0,11523.0,ожидается поставка,{}
Водонагреватель Ballu BWH/S 30 Rodon,BALLU,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1123871,BWH/S 30 Rodon,12290.0,12290.0,10447.0,80,"{'ррц Екатеринбург LV NEW': '16', 'фрц Киржач': '64'}"
Кондиционер оконный Ballu BWC-07 AC,BALLU,Кондиционирование/Бытовые кондиционеры/Оконные кондиционеры,НС-1307920,BWC-07 AC,25590.0,25590.0,21495.6,195,{'фрц Киржач': '195'}
Завеса тепловая Ballu BHC-M20T18-PS (пульт BRC-D1),BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1507286,BHC-M20T18-PS (BRC-D1),57990.0,57990.0,46392.0,3,{'фрц Киржач': '3'}
Тепловентилятор водяной Ballu BHP-W3-50-S,BALLU,Тепловое оборудование/Водяные тепловентиляторы и дестратификаторы/Водяные тепловентиляторы,НС-1286430,BHP-W3-50-S,48990.0,44090.0,37722.3,ожидается поставка,{}
Завеса тепловая Ballu BHC-L08-S05-M,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Компактные,НС-1056747,BHC-L08-S05-M,13990.0,13990.0,11611.7,1,{'фрц Киржач': '1'}
"Комплект Ballu BLCI_CF-48HN1_24Y инверторной сплит-системы, напольно-потолочного типа",BALLU,Кондиционирование/Полупромышленные сплит-системы,НС-1597619,BLCI_CF-48HN1_24Y,208100.0,208100.0,124860.0,27,"{'ррц Лакинск': '14', 'фрц Киржач': '13'}"
Экран универсальный для настенных кондиционеров Ballu Сплит 700-1100,BALLU,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Экраны для кондиционеров",НС-1303976,splitscreenuniversal,2777.0,2777.0,2416.0,456,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '21', 'фрц Киржач': '433'}"
"Шланг дренажный Ballu 16 x 15000 (мм), бухта",BALLU,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Дренажный шланг",НС-1420335,ballu16*15,450.0,450.0,414.0,ожидается поставка,{}
Завеса тепловая Ballu BHC-L09S03-ST,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Компактные,НС-1136136,BHC-L09S03-ST,12990.0,12990.0,10392.0,53,"{'ррц Екатеринбург LV NEW': '28', 'фрц Киржач': '25'}"
Завеса тепловая Ballu BHC-M20W30-PS2,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1355478,BHC-M20W30-PS2,82990.0,82990.0,66392.0,ожидается поставка,{}
"Рециркулятор-обеззараживатель медицинский Ballu RDU-200D ANTICOVIDgenerator, white",BALLU,"Увлажнение, осушение и очистка воздуха/Рециркуляторы, стерилизаторы, ионизаторы/Рециркуляторы",НС-1485688,RDU-200D white,21990.0,21990.0,17152.0,ожидается поставка,{}
Конвектор электрический Ballu Enzo BEC/EZMR-500 (Боковое управление),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1580075,BEC/EZMR-500 (SC),3290.0,3290.0,2796.5,486,{'ррц Лакинск': '486'}
Обогреватель инфракрасный газовый Ballu BIGH-55,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Газовые инфракрасные обогреватели,НС-1053138,BIGH-55,9690.0,9690.0,7752.0,92,"{'ррц Екатеринбург LV NEW': '3', 'фрц Киржач': '89'}"
Завеса тепловая Ballu BHC-H20A-PS2,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1355459,BHC-H20A-PS2,56490.0,56490.0,45192.0,ожидается поставка,{}
Обогреватель конвективно-инфракрасный BALLU Plaza Solar BIHP/S-1900,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические инфракрасные обогреватели,НС-1246097,BIHP/S-1900,14590.0,14590.0,12401.5,61,"{'ррц Екатеринбург LV NEW': '17', 'фрц Киржач': '44'}"
Завеса тепловая Ballu BHC-M10T06-PS2,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1355485,BHC-M10T06-PS2,37990.0,37990.0,30392.0,ожидается поставка,{}
Сплит-система инверторного типа Ballu BSNI-10HN8 комплект,BALLU,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1434042,BSNI-10HN8,57990.0,57990.0,42332.7,16,"{'ррц Петушки (Владимирская обл.)': '15', 'фрц Киржач': '1'}"
Комплект Ballu Transformer с блоком управления и шасси BEC/EVU-1000-4E (электронный),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1584108,BEC/EVU-1000-4E-BFT/EVUR,10070.0,10070.0,8056.0,более 500,{'фрц Киржач': 'более 500'}
"Блок наружный Ballu B4OI-FM/out-27HN8/LP_EU мульти сплит-системы, инверторного типа",BALLU,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1486985,B4OI-FM/out-27HN8/LP_EU,117400.0,117400.0,81006.0,ожидается поставка,{}
Завеса тепловая Ballu BHC-U20W55-PS2,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Пылевлагозащищенные (IP54),НС-1425238,BHC-U20W55-PS2,159990.0,159990.0,127992.0,1,{'ррц Екатеринбург LV NEW': '1'}
Обогреватель инфракрасный газовый Ballu BIGH-55 Black,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Газовые инфракрасные обогреватели,НС-1135563,BIGH-55 Black,8990.0,8990.0,7642.0,ожидается поставка,{}
Модуль отопительный электрического конвектора Ballu Apollo Transformer BEC/AT-2500,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекционные отопительные модули,НС-1238497,BEC/AT-2500,8190.0,8190.0,6552.0,310,{'фрц Киржач': '310'}
Тепловентилятор водяной Ballu BHP-W4-100-S,BALLU,Тепловое оборудование/Водяные тепловентиляторы и дестратификаторы/Водяные тепловентиляторы,НС-1508424,BHP-W4-100-S,66990.0,60290.0,51582.3,ожидается поставка,{}
