Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Радиатор Royal Thermo PianoForte 200 /Noir Sable - 20 секц. VDR,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы биметаллические секционные,НС-1346012,RTPNSVDR20020,31990.0,31990.0,25272.1,1,{'фрц Киржач': '1'}
Конвектор внутрипольный Royal Thermo ATRIUM-190/250/900-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477609,RT-A-190/250/900-DG-U-DB,23758.0,23758.0,16155.44,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL HYGIENE VH20-300-2000 Silver Satin,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1370844,VH20-300-2000/SS,14697.0,14697.0,11169.72,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL HYGIENE VH30-400-1100 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1345650,VH30-400-1100/9016,13265.0,13265.0,10081.4,ожидается поставка,{}
Радиатор панельный Royal Thermo COMPACT C33-500-700 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1190060,C33-500-700/9016,10897.0,10897.0,8281.72,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-150/400/1900-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1558559,RT-A-150/400/1900-DG-U-DB,65620.0,65620.0,44621.6,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-90/250/1500-DG-U-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1522817,RT-A-90/250/1500-DG-U-NA,27549.0,27549.0,18733.32,ожидается поставка,{}
"Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 5 выходов",Royal Thermo,Отопление и водоснабжение/Коллекторы/Коллекторы распределительные,НС-1080951,RTE 52.105,22000.0,19800.0,12540.0,130,"{'ррц Екатеринбург LV NEW': '11', 'фрц Киржач': '119'}"
Радиатор Royal Thermo PianoForte 500 Noir Sable VDR80 - 12 секц.,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы биметаллические секционные,НС-1506366,RTPNNSVDR8050012,22870.0,22870.0,18067.3,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-190/200/2600-DG-U-LB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477559,RT-A-190/200/2600-DG-U-LB,49898.0,49898.0,33930.64,ожидается поставка,{}
Радиатор панельный Royal Thermo HYGIENE H20-400-1500 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1345438,H20-400-1500/9016,10009.0,10009.0,7606.84,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-90/200/2900-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1558939,RT-A-90/200/2900-DG-U-DB,46232.0,46232.0,31437.76,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-190/200/1000-DG-U-AU,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1493159,RT-A-190/200/1000-DG-U-AU,22492.0,22492.0,15294.56,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-190/300/1500-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1558672,RT-A-190/300/1500-DG-U-DB,41450.0,41450.0,28186.0,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-90/400/1900-DG-U-BL,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1559037,RT-A-90/400/1900-DG-U-BL,49475.0,49475.0,33643.0,ожидается поставка,{}
Радиатор панельный Royal Thermo COMPACT C33-500-1300 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1190039,C33-500-1300/9016,16872.0,16872.0,12822.72,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-150/250/2800-DG-U-LB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477445,RT-A-150/250/2800-DG-U-LB,63896.0,63896.0,43449.28,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL HYGIENE VH30-400-2200 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1345661,VH30-400-2200/9016,22783.0,22783.0,17315.08,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-75/200/2600-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477714,RT-A-75/200/2600-DG-U-DB,39891.0,39891.0,27125.88,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-150/250/2000-DG-U-BL,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1493391,RT-A-150/250/2000-DG-U-BL,45556.0,45556.0,30978.08,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-190/250/1000-DG-U-AU,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1493172,RT-A-190/250/1000-DG-U-AU,25782.0,25782.0,17531.76,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL COMPACT VC22-500-700 Silver Satin,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1239367,VC22-500-700/SS,8874.0,8874.0,6744.24,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-75/300/2900-DG-U-BL,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1558858,RT-A-75/300/2900-DG-U-BL,51440.0,51440.0,34979.2,ожидается поставка,{}
Сплит-система инверторного типа Royal Thermo Siena DC RTSI-09HN8 комплект,Royal Thermo,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1598320,RTSI-09HN8,39900.0,39900.0,28728.0,228,"{'екатеринбург склад': '1', 'ррц Костерево (Владимирская обл.)': '212', 'фрц Киржач': '15'}"
Радиатор панельный Royal Thermo HYGIENE H30-600-1200 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1190632,H30-600-1200/9016,14677.0,14677.0,11154.52,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-110/300/2100-DG-U-AU,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1558360,RT-A-110/300/2100-DG-U-AU,40285.0,40285.0,27393.8,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-90/200/1600-DG-U-AU,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1493266,RT-A-90/200/1600-DG-U-AU,27150.0,27150.0,18462.0,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-110/250/1100-DG-U-BL,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1558301,RT-A-110/250/1100-DG-U-BL,21982.0,21982.0,14947.76,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL HYGIENE VH10-400-1400 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1345599,VH10-400-1400/9016,8385.0,8385.0,6372.6,ожидается поставка,{}
Радиатор Royal Thermo Biliner Alum 500 - 6 секц.,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы алюминиевые секционные,НС-1173472,RTBA50006,5640.0,5640.0,4794.0,9,{'фрц Киржач': '9'}
Конвектор внутрипольный Royal Thermo ATRIUM-75/400/1100-DG-U-LB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1558864,RT-A-75/400/1100-DG-U-LB,29648.0,29648.0,20160.64,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL COMPACT VC33-500-1400 Noir Sable,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1255877,VC33-500-1400/NS,20759.0,20759.0,15776.84,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-190/300/1900-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1558680,RT-A-190/300/1900-DG-U-DB,51195.0,51195.0,34812.6,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL COMPACT VC21-500-900 Noir Sable,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1238983,VC21-500-900/NS,9817.0,9817.0,7460.92,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL COMPACT VC11-500-1400 RAL9016 M,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1453092,VC11-500-1400/9016 M,9524.0,9524.0,7238.24,354,{'фрц Киржач': '354'}
Конвектор внутрипольный Royal Thermo ATRIUM-190/200/1200-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477537,RT-A-190/200/1200-DG-U-DB,25850.0,25850.0,17578.0,ожидается поставка,{}
